Keys,Definitions,Topic,Name
gơhrĕt,"to pull, to tie well",-1,-1_to_be_of_and
gơih,to send (letters only),-1,-1_to_be_of_and
gơlang,gable,0,0_praise_greet_oh_me
gơlăn,to describe a person with big eyes looking intently at something,55,55_eyes_eye_cockeyed_crosseyed
gơlăr,type of cane used in building,19,19_tree_branch_branches_trees
gơlăr Bahnar Gơlăr,"the Bahnar who lives around the Kơdơ rice-growing 10 to 15 kilometers east of Pleiku 8-10,000 people",6,6_rice_husked_cooked_grain
gơling,to describe the banking of a plane,-1,-1_to_be_of_and
gơlon,to describe a person with small eyes looking intently at something ,55,55_eyes_eye_cockeyed_crosseyed
gơlor-gơle,to stamp on in anger,22,22_angry_sad_insult_threaten
gơlŏng,to clean by shaking water inside,48,48_clean_wash_dirty_rub
gơlỡ,to push to do quickly,12,12_quickly_walking_go_walk
gơlỡp,to be buried already,25,25_died_ceremony_grave_sacrifice
golŭng-gơlăng,chasing one another not watching where going,-1,-1_to_be_of_and
golŭng-gơle,striding along,-1,-1_to_be_of_and
gơnam,to threaten,22,22_angry_sad_insult_threaten
"gơnăl, kơnăl","to recognize, know",-1,-1_to_be_of_and
gơnăp,"the binding, that which holds something together",0,0_praise_greet_oh_me
gơneng,bookcase or related objects,-1,-1_to_be_of_and
gơnêh-gơnêh gơnơm,"to depend on, trust in",-1,-1_to_be_of_and
gơning,to lean on or against ,-1,-1_to_be_of_and
gơnơm,"to depend on, trust",-1,-1_to_be_of_and
gơnỡ,to want to do something one can't,16,16_desire_want_do_strive
gơnuang,to make a circle of wire,-1,-1_to_be_of_and
gơnŭk, a large pile ,-1,-1_to_be_of_and
gơp,shelter underneath rock tree,-1,-1_to_be_of_and
hơgơp,cave ,-1,-1_to_be_of_and
gơsỡm-hla gơsỡm,an edible leaf (plant),9,9_fruit_leaf_plant_leaves
gơwang,type of expensive wine jar,47,47_wine_jar_pour_great
gơwŏk,"to be hooked, pick with a hook",-1,-1_to_be_of_and
 long gơwŏk,a hook,-1,-1_to_be_of_and
gơwôh, buck teeth ,20,20_teeth_mouth_throat_lick
gỡ,to break something made of wood metal glass,-1,-1_to_be_of_and
gỡng, measurer for small stick-like objects,2,2_hit_hand_carry_stick
gỡng ga,four-poled device to tie carabao to for sacrifice ,-1,-1_to_be_of_and
gỡ,handle ,38,38_knife_blade_handle_sword
gỡt," to brake, to prevent, control oneself ",-1,-1_to_be_of_and
"grach, yă grach",cricket,0,0_praise_greet_oh_me
"grah, grah luăn 'năr",solar eclipse (grah is probably some animal eating the sun),-1,-1_to_be_of_and
"grak, grak-kơgrak",the noise of a person snoring ,1,1_noise_sound_tiger_of
gram,"to keep house, body clean",48,48_clean_wash_dirty_rub
grang,a basket used to catch fish ,21,21_fish_catch_net_poison
gră,"big seeds, big seed-shaped things",9,9_fruit_leaf_plant_leaves
grăt,"to be silent, a quiet person",51,51_quiet_laugh_quietly_whisper
gre,vehicle,0,0_praise_greet_oh_me
grĕng,eye teeth,20,20_teeth_mouth_throat_lick
grĕng-nĕng,small bell,-1,-1_to_be_of_and
grĕnh,to growl,1,1_noise_sound_tiger_of
grê,"leaning tree, house",19,19_tree_branch_branches_trees
grik,sound of growl,1,1_noise_sound_tiger_of
gring,fierce noisy leap of the tiger at prey,1,1_noise_sound_tiger_of
groi,hill,0,0_praise_greet_oh_me
grong,to beat gongs and march around something,-1,-1_to_be_of_and
grŏl,to roll,56,56_roll_up_curl_curled
grôi,"mane of horse, pig",31,31_horse_pig_cow_goat
groih-gogroih,noise of pulling something small on ground,1,1_noise_sound_tiger_of
grôih-gogrôih,noise of pulling something large on ground,1,1_noise_sound_tiger_of
"grôk, grôk",noise of stomach rumbling,1,1_noise_sound_tiger_of
grỡ,vulture,-1,-1_to_be_of_and
grỡ ă,a large vulture,11,11_bird_birds_rooster_nest
grỡm,thunder from distance,-1,-1_to_be_of_and
gruih,to stand up quickly ,-1,-1_to_be_of_and
grŭn, to strain when carrying something on back,2,2_hit_hand_carry_stick
grŭp,group,13,13_person_people_1st_2nd
gueo,"very dark, unable to understand",17,17_dark_skin_white_black
"guêng, jỡng guêng",bowlegged ,-1,-1_to_be_of_and
gur ,split ends of hair,-1,-1_to_be_of_and
gŭi,edible yellow fruit that grows on vines that climb trees,9,9_fruit_leaf_plant_leaves
gŭk,to pile up,23,23_size_large_fit_wide
gŭm,to help ,0,0_praise_greet_oh_me
gŭt ,to bend,-1,-1_to_be_of_and
ha,to open mouth,20,20_teeth_mouth_throat_lick
ha ,"huh?, question particle",34,34_particle_final_question_imperative
hach,"to dissolve, melt, disintegrate ",-1,-1_to_be_of_and
hah ,huh?,0,0_praise_greet_oh_me
hai,graduated shape,-1,-1_to_be_of_and
"hai, đak hai",saliva ,20,20_teeth_mouth_throat_lick
hal,"happy, thrilled",-1,-1_to_be_of_and
han ,sharp edged,38,38_knife_blade_handle_sword
hang,sting from salt on cut,-1,-1_to_be_of_and
hang nuih,distressed,22,22_angry_sad_insult_threaten
hang,"bank of river, sea",8,8_water_river_sea_stream
hanh,to desire,16,16_desire_want_do_strive
hao ,"to climb, ride",-1,-1_to_be_of_and
har,bitter,22,22_angry_sad_insult_threaten
hă,huh? question particle,34,34_particle_final_question_imperative
hăk,to vomit,-1,-1_to_be_of_and
hăl,"to be tired of, bored",24,24_sick_tired_sleep_sickness
"hăm, hỡm",question marker preceding verb,52,52_that_there_sight_marker
hăm,"with, and ",53,53_then_therefore_also_but
hăp,3rd person singular (in some dialects it is the familiar form) ,13,13_person_people_1st_2nd
hăt,"to be in a hurry, be busy at",12,12_quickly_walking_go_walk
hăt-hot,emphatic of hăt ,34,34_particle_final_question_imperative
he ,"expression used when handing something to someone, ""here"" ",-1,-1_to_be_of_and
hei ,any time during the day before the present moment ,3,3_time_day_night_if
hei hơhei,very much earlier,3,3_time_day_night_if
măng hei,last night,3,3_time_day_night_if
hek,to tear,-1,-1_to_be_of_and
hek-hok,emphatic form of hek ,-1,-1_to_be_of_and
hen ,to stand on tip-toes to pull in stomach,2,2_hit_hand_carry_stick
"hĕ, hĕ","words used to call cows, carabaos",-1,-1_to_be_of_and
hêt-hêt,"to breathe heavily, to be out of breath ",-1,-1_to_be_of_and
hi,final particle marking emphasis,34,34_particle_final_question_imperative
hiam,type of tree the bark of which is used to kill fish,19,19_tree_branch_branches_trees
hiang,"pick all over, weak, failing health; pale",24,24_sick_tired_sleep_sickness
hiap,to curse ,-1,-1_to_be_of_and
hiă,"spare (as tire, food)",-1,-1_to_be_of_and
hiĕm,to feed,-1,-1_to_be_of_and
hiĕn,to cough ,-1,-1_to_be_of_and
hiĕt,to cut oneself,49,49_cut_slices_into_straight
hih,huh? question particle,34,34_particle_final_question_imperative
hil,to be angry ,22,22_angry_sad_insult_threaten
hin ,very poor,-1,-1_to_be_of_and
hiom,to feel the chills,42,42_cold_hot_cool_season
hiong,"to lose something, to be lost",-1,-1_to_be_of_and
hiot,to pull,2,2_hit_hand_carry_stick
"hiŏu, hiâu",to walk fast ,12,12_quickly_walking_go_walk
hiôk,"happy, pleasant",-1,-1_to_be_of_and
hiôk-hian,"quiet, peaceful",51,51_quiet_laugh_quietly_whisper
hiơ,spinning wheel,-1,-1_to_be_of_and
hiơ-hiă,hunger pangs,40,40_eat_eating_food_hungry
hiơt,to forget,-1,-1_to_be_of_and
hiỡ,to spend a long time at because enjoying it,-1,-1_to_be_of_and
hiỡr,"to be thrilled, really desire something ",16,16_desire_want_do_strive
hip ,suitcase-type box,0,0_praise_greet_oh_me
hium,to gather together,43,43_together_meet_gather_discuss
hiŭ,to go down gradually,33,33_fall_down_descend_stumble
hiŭ-hiŭ,springy,-1,-1_to_be_of_and
hiu-hiŭ,to fall gradually,33,33_fall_down_descend_stumble
hiưp,twilight; to fall asleep,3,3_time_day_night_if
hǐ,post-verb particle meaning or function of which not been determined,34,34_particle_final_question_imperative
hla,leaf ,9,9_fruit_leaf_plant_leaves
hla bơar,paper,-1,-1_to_be_of_and
hlach,"to cut with a very sharp knife as rubber, skin, gums",49,49_cut_slices_into_straight
hlak,classifier for paper money,-1,-1_to_be_of_and
hlang,type of fish,21,21_fish_catch_net_poison
"hlang, hlăng",type of small bee that lives in tree and produces edible honey ,27,27_bee_ant_insect_fly
hlanh,unable to do,-1,-1_to_be_of_and
hlao,to become sick of,24,24_sick_tired_sleep_sickness
hlăk,"to be caught, stuck, not able to pull out",-1,-1_to_be_of_and
hlăng,clear in reference to water glass ,8,8_water_river_sea_stream
hlăr,to look at a person with a fearful expression,39,39_afraid_fearful_scary_frightened
hle,new,-1,-1_to_be_of_and
hler,to describe something cold,42,42_cold_hot_cool_season
hlĕch,type of fish,21,21_fish_catch_net_poison
hlĕl,"a little, just one",5,5_more_nothing_completely_all
hlêl,full and running over,5,5_more_nothing_completely_all
hlêl-hlal,many things being full,5,5_more_nothing_completely_all
hlêp-hlap,to cut into big slices,49,49_cut_slices_into_straight
hlêp-hlêp,to cut into big slices,49,49_cut_slices_into_straight
hli,to be afraid,39,39_afraid_fearful_scary_frightened
hli-hlơt,emphatic form of hli,-1,-1_to_be_of_and
hling,to pour into a cup,47,47_wine_jar_pour_great
hlǐch,strange ,-1,-1_to_be_of_and
hlǐch-hlăch,emphatic form of hlǐch,-1,-1_to_be_of_and
hloch,to pull out sword from sheath,38,38_knife_blade_handle_sword
hloh,"to be gone already, go farther than",-1,-1_to_be_of_and
hloh,more than ,5,5_more_nothing_completely_all
hloi,"immediately, completely",3,3_time_day_night_if
hlom,to be hidden,-1,-1_to_be_of_and
hlong,similar to hloi,-1,-1_to_be_of_and
hlot,to be sold ,0,0_praise_greet_oh_me
đing hlot,instrument used carry thread in weaving,18,18_thread_weaving_instrument_wind
"hlŏt, 'ba hlŏt",type of rice,6,6_rice_husked_cooked_grain
"hlŏu, hlâu",to point,-1,-1_to_be_of_and
hlôh,hole in paper,37,37_hole_plug_drill_sink
hlôh,to understand,10,10_think_speak_understand_tell
hlôi,to reach and pass to signify action completed,-1,-1_to_be_of_and
hlôm,to blow a musical instrument,1,1_noise_sound_tiger_of
hlơk,to pull up pant legs,2,2_hit_hand_carry_stick
hlơk,to turn pages of book,-1,-1_to_be_of_and
hlơp,to be hidden,-1,-1_to_be_of_and
hlỡk,to sleep very heavily,24,24_sick_tired_sleep_sickness
hlỡm,to faint,24,24_sick_tired_sleep_sickness
hlum,to be hidden,-1,-1_to_be_of_and
hlŭn,to sink in as earth to be very dented ,37,37_hole_plug_drill_sink
hlŭt,very soft muddy hole,37,37_hole_plug_drill_sink
hmach,to want something you could have had but can't have now,16,16_desire_want_do_strive
hmach,to greet,0,0_praise_greet_oh_me
hmaǐ,"there, I told you so?",-1,-1_to_be_of_and
hmar,trap that has door for animals to enter but then shuts them in,44,44_trap_animals_bait_pam
"hmar, apo hmar",a dream that is fulfilled,16,16_desire_want_do_strive
hmă,the customary ,-1,-1_to_be_of_and
hmăng,"to wish for, hope for, wait for",16,16_desire_want_do_strive
hmêh,to have desire to do,16,16_desire_want_do_strive
hmêu-hmao-mao,many people,13,13_person_people_1st_2nd
hmoi,"to cry, weep, mourn",1,1_noise_sound_tiger_of
hmok,"bark of tree, banana stalk",-1,-1_to_be_of_and
hmôch,ant,27,27_bee_ant_insect_fly
hmơt,"strong desire, to have appetite for",16,16_desire_want_do_strive
hmơhmơt,to have craving for,16,16_desire_want_do_strive
hmrang,to be equal in size,23,23_size_large_fit_wide
hmrunh,two people or animals sleeping together,43,43_together_meet_gather_discuss
hmrunh-hmranh,many of two sleeping together,43,43_together_meet_gather_discuss
hnam,"house, home, building",-1,-1_to_be_of_and
hnăt,leak in roof ,8,8_water_river_sea_stream
hnơr,generation ,0,0_praise_greet_oh_me
hnỡk-hnônh-mônh,to describe many people lying down ,45,45_lie_accuse_fool_deceive
hnỡk-hnăk,to describe many people dying,25,25_died_ceremony_grave_sacrifice
hngach,light rain that continues for a long time-hours or days,-1,-1_to_be_of_and
hngam,simple form of eight,-1,-1_to_be_of_and
hngăm,"heavy, many",26,26_stomach_fat_strong_bloated
hngĕl-hngal-mal,to describe many large heads lying on ground,23,23_size_large_fit_wide
hngĕl-hngônh-mônh,many small heads of dead animals lying on ground e.g. fish chicken,-1,-1_to_be_of_and
hngễ,"slowly, late",3,3_time_day_night_if
hngok-hngônh-mônh,many people together working or playing,43,43_together_meet_gather_discuss
hngơr,to snore,0,0_praise_greet_oh_me
hnhăng,"come here, come quickly ",12,12_quickly_walking_go_walk
hnhǐt,to forget (a descriptive word rather than a main verb),-1,-1_to_be_of_and
hnhoi,"to look at continually, to look at and follow",28,28_look_at_peek_test
hnhong-hnhônh-mônh,everybody looking at something,28,28_look_at_peek_test
hnhŏk-hnhônh-mônh,many people sitting around sad thinking of someone sick,24,24_sick_tired_sleep_sickness
hnhơnnhăp-hnhônh-mônh,many people doing something together,43,43_together_meet_gather_discuss
hnhăp-hnhônh-mônh,same as above (many people doing something together),43,43_together_meet_gather_discuss
hnhohnhễ,"to describe water leaking out, tears flowing ",8,8_water_river_sea_stream
ho ,polite imperative particle ,34,34_particle_final_question_imperative
hoch,"to pull out, take out; of water to take something away",-1,-1_to_be_of_and
hoh,"nothing, only",5,5_more_nothing_completely_all
hoh-hoy,nothing,5,5_more_nothing_completely_all
hon,"to grow fast--plants,hair, but not people ",-1,-1_to_be_of_and
hong ,"to be chipped of knife, plate",38,38_knife_blade_handle_sword
hor,to drag on ground ,-1,-1_to_be_of_and
hŏ,polite imperative particle,34,34_particle_final_question_imperative
hŏnh,to be wrinkled with age,7,7_clothes_head_cloth_wrinkled
"hŏu, hâu",unhusked rice mixed in with husked rice,6,6_rice_husked_cooked_grain
hôn,to be amazed,0,0_praise_greet_oh_me
hỗ lah,"""Oh what a pity""",-1,-1_to_be_of_and
hơbal,"quickly, fast",12,12_quickly_walking_go_walk
hơbĕch,"fast, quickly ",12,12_quickly_walking_go_walk
hơbo ,bamboo that is dead,15,15_bamboo_tube_xylophone_tall
hơbong,ditch,0,0_praise_greet_oh_me
hơbŏ,to look like shape ,-1,-1_to_be_of_and
bơngai hơbŏ,"handsome, beautiful",-1,-1_to_be_of_and
"hơbŏu, hơbâu, rơbŏu",thousand,5,5_more_nothing_completely_all
hơbôn,soft and springy,-1,-1_to_be_of_and
hơbông,drift wood,-1,-1_to_be_of_and
hobỡ,to feel for something,16,16_desire_want_do_strive
hơbỡt,to hit hard with force,2,2_hit_hand_carry_stick
hơbỡt-hơbăt,continually,-1,-1_to_be_of_and
"hơbung, brai hơbung",black thread,18,18_thread_weaving_instrument_wind
hơbŭt,of wind to blow hard,18,18_thread_weaving_instrument_wind
hơ'bīu,to describe swelling from sting,-1,-1_to_be_of_and
hơ'biu-hơ'bau,emphatic form of hơ'bīu,0,0_praise_greet_oh_me
hơ'blô,"pale, weak-looking in face",-1,-1_to_be_of_and
hơ'blông,a sickness with sores all over the body,24,24_sick_tired_sleep_sickness
hơ'bo,corn (maize),-1,-1_to_be_of_and
hơ'bỡl,thick; of a fever to be high,-1,-1_to_be_of_and
hochĕk-hơchăk,to describe many small footprints,23,23_size_large_fit_wide
hơchĕm,easily breakable wood,-1,-1_to_be_of_and
hơchỡk-hơchăk-măk,to describe many large footprints,23,23_size_large_fit_wide
hochŭ,two people bucking each other with head,-1,-1_to_be_of_and
hơdah,to be light sunshine light from fire lamp,4,4_fire_light_boil_kettle
hơdah,or,53,53_then_therefore_also_but
hơdai,together,43,43_together_meet_gather_discuss
hơdang,shrimp ,21,21_fish_catch_net_poison
Hơdang,the Sedang,0,0_praise_greet_oh_me
hơde,a type of bamboo,15,15_bamboo_tube_xylophone_tall
hơdoi,together,43,43_together_meet_gather_discuss
hodỡr,to be sober,-1,-1_to_be_of_and
hơdrai,small branches,19,19_tree_branch_branches_trees
hơdraǐ,"wail, cry, call loud in anger",1,1_noise_sound_tiger_of
hơdrang,nest,-1,-1_to_be_of_and
hơdrap,to have a cold,42,42_cold_hot_cool_season
hơdră,specific time,3,3_time_day_night_if
hơdrăl,to be sober from drinking,-1,-1_to_be_of_and
hodrĕ,an evil spirit,-1,-1_to_be_of_and
hơdring,bamboo strip grass used for stringing fish,15,15_bamboo_tube_xylophone_tall
hơdroch,an edible leaf with a very good taste,-1,-1_to_be_of_and
hơdrol,"before, first",-1,-1_to_be_of_and
hơdrŏ,early rice,6,6_rice_husked_cooked_grain
hơdrŏng,leaf that is used to make brooms,9,9_fruit_leaf_plant_leaves
hodrô,wine,47,47_wine_jar_pour_great
hơdrông,caterpillar worm,-1,-1_to_be_of_and
hơdrỡm,bamboo water system,15,15_bamboo_tube_xylophone_tall
hơdrỡp,a net bird trap,44,44_trap_animals_bait_pam
"hơdruch, oh hơdruch",youngest in family,14,14_children_law_mother_father
hodruih,broom,-1,-1_to_be_of_and
hơđah,jump,-1,-1_to_be_of_and
hơđah,of fruit or skin to crack open,9,9_fruit_leaf_plant_leaves
hơđang,of wood to split earth to crack,-1,-1_to_be_of_and
hơđỡng,"to depend upon, to be dependable, trustworthy",-1,-1_to_be_of_and
hơgăt,cubit (a linear measure from elbow to the end of middle finger),35,35_leg_arm_legs_joint
hơgăt,to measure (linear),-1,-1_to_be_of_and
hơgei,"clever, intelligent, capable",10,10_think_speak_understand_tell
hơgop,together ,43,43_together_meet_gather_discuss
chỗ hơgop,to tie together,-1,-1_to_be_of_and
"hơgŏu, hơgâu",to be unsuccessful in hunting animals,36,36_dog_hunting_prey_wild
hơgơng,bridge,0,0_praise_greet_oh_me
hơgỡm,woven headband,7,7_clothes_head_cloth_wrinkled
hơgỡm, if,3,3_time_day_night_if
hơgỡng-ga,sacrifice pole,25,25_died_ceremony_grave_sacrifice
hơgỡp,cave,0,0_praise_greet_oh_me
hơguăl,hair bun,50,50_hair_unruly_matted_curly
hơnĕch-hơhoch,to be ground chopped very small,-1,-1_to_be_of_and
hohiĕng,of knife to look very sharp,38,38_knife_blade_handle_sword
hơhôch,to whistle,1,1_noise_sound_tiger_of
hơhôt,of a tube to be clear no obstructions,-1,-1_to_be_of_and
hơhơch,to make a mistake,-1,-1_to_be_of_and
hơhrah,"to be offended by, not want",22,22_angry_sad_insult_threaten
hơhrin,to pinch hard,-1,-1_to_be_of_and
hơhrŭk-hrăk,noise of guns going off or someone pounding on another's back ,1,1_noise_sound_tiger_of
hơi,"of little value, not so important, to have lost flavor ",-1,-1_to_be_of_and
hơi,white horse ,31,31_horse_pig_cow_goat
hơi-hơi,not very important,-1,-1_to_be_of_and
hơia,"red, sour tree fruit ",9,9_fruit_leaf_plant_leaves
hơiă,happy ,-1,-1_to_be_of_and
hơiĕ,"many small pieces, children ",14,14_children_law_mother_father
hơioh,"child, children",14,14_children_law_mother_father
hơiơch,to bear a child ,14,14_children_law_mother_father
hơiơch,light in weight,26,26_stomach_fat_strong_bloated
hơiơl,type of bamboo,15,15_bamboo_tube_xylophone_tall
hơǐng,to not be afraid ,39,39_afraid_fearful_scary_frightened
hơjong,to be almost gone ,-1,-1_to_be_of_and
hơjỡm,to work with metals,46,46_chain_necklace_metal_bracelet
bơngai hơjỡm,blacksmith,46,46_chain_necklace_metal_bracelet
hơk-hơk,"to miss, be lonesome for",-1,-1_to_be_of_and
hơkĕ,"thin, weak ",26,26_stomach_fat_strong_bloated
"hơkop, prit hơkop",two bananas growing fastened together,-1,-1_to_be_of_and
hơkôih,to smooth wood by shaving,-1,-1_to_be_of_and
hơla,to give a gift,-1,-1_to_be_of_and
hơla,not once,-1,-1_to_be_of_and
"hơlang, prit hơlang",long yellow bananas,-1,-1_to_be_of_and
hơlăng,to be generous,-1,-1_to_be_of_and
hơleh,of fruit to fall to the ground of the sky to fall down,9,9_fruit_leaf_plant_leaves
hơlen,to keep on,30,30_stop_prevent_keep_doing
hơlĕ,"maybe this, maybe that",52,52_that_there_sight_marker
hơlĕch,east,0,0_praise_greet_oh_me
holĕnh,"to lie, be untruthful",45,45_lie_accuse_fool_deceive
hơlêm,to ask for pardon ,-1,-1_to_be_of_and
hơli,to feel over with hand,2,2_hit_hand_carry_stick
hơliang,"to jump, fly in a dream",-1,-1_to_be_of_and
hơlik-hơlik,"to have to do over and over, say over and over",41,41_over_change_turn_turning
hơloh,immediately,3,3_time_day_night_if
hơlom,perfect rice grains,6,6_rice_husked_cooked_grain
holŏl,filled by one thing,-1,-1_to_be_of_and
hơlŏng,throat,20,20_teeth_mouth_throat_lick
holŏu,classifier for elephants,-1,-1_to_be_of_and
hơlôk,a large pile,-1,-1_to_be_of_and
hơlơp,pale ,17,17_dark_skin_white_black
hơlỡ,therefore,53,53_then_therefore_also_but
hơlỡ,to turn over as when frying,41,41_over_change_turn_turning
holỡk,"to change, to turn over, to do the wrong or opposite way",41,41_over_change_turn_turning
hơluet,to lick one when eating,20,20_teeth_mouth_throat_lick
holŭk,"to turn over, a vehicle turning over",41,41_over_change_turn_turning
holŭl,buried almost completely,25,25_died_ceremony_grave_sacrifice
holŭng,"of a bridge, earth to fall in a hole that is dug",37,37_hole_plug_drill_sink
hơ'lỡng,many each one being beautiful or good,-1,-1_to_be_of_and
hơ'lỡp,"child, children",14,14_children_law_mother_father
hơmăt,before the face of,28,28_look_at_peek_test
hơmet,to prepare to put away,-1,-1_to_be_of_and
hơmŏ,to think it will be right what one wants,-1,-1_to_be_of_and
hơmŏl,large chunk of firewood,4,4_fire_light_boil_kettle
hơmơng,roundworm,-1,-1_to_be_of_and
hơmơt,"dangerous, to be feared the most",39,39_afraid_fearful_scary_frightened
hơmỡl,clouds,-1,-1_to_be_of_and
hơmren,"of arm, leg to sleep",35,35_leg_arm_legs_joint
hơmŭk,classifier for a set of gongs of the same type,-1,-1_to_be_of_and
hơmŭl,"money in 50, 100, or 500 piastre bills -  many of one kind",5,5_more_nothing_completely_all
hơ'măng,again ,-1,-1_to_be_of_and
hơ'mơt,to catch fish with,21,21_fish_catch_net_poison
hơnao,bamboo knife ,15,15_bamboo_tube_xylophone_tall
hơnǐl,in good condition,-1,-1_to_be_of_and
hơnong,straw ,-1,-1_to_be_of_and
hơnỡng,"balanced, equal, to remain the same",-1,-1_to_be_of_and
hơnỡng -hơnong,intensive form of hơnỡng,29,29_intensive_form_lơ_truly
hơnuh,the large husks of rice,6,6_rice_husked_cooked_grain
hơ'năk,"to cock gun, crossbow",-1,-1_to_be_of_and
hơ'nỡk,"to cough up food, cough when eating",40,40_eat_eating_food_hungry
ho'nỡr,to wake up,-1,-1_to_be_of_and
hơnganh,a poisonous shrub or vine like poison ivy,-1,-1_to_be_of_and
hơngăm,of fire to go down almost go out,4,4_fire_light_boil_kettle
hơngễ,late,3,3_time_day_night_if
hongiĕng,shoulder,2,2_hit_hand_carry_stick
hơngo,pine,-1,-1_to_be_of_and
hơngŏ,of swelling to recede,-1,-1_to_be_of_and
hơnguang,to hunt animals,36,36_dog_hunting_prey_wild
hơnguỡk,hook lasso,-1,-1_to_be_of_and
hơ'nger,to cook on coals,4,4_fire_light_boil_kettle
hơ'ngĕl,to do over and over,41,41_over_change_turn_turning
ho'nguir,"to not be able to stand up because of fall, sickness",24,24_sick_tired_sleep_sickness
honhă,a fish net that is pulled up by cord,21,21_fish_catch_net_poison
hơnhăm,to scorn,-1,-1_to_be_of_and
hơnhek,"to be sweaty, dirty and tired",-1,-1_to_be_of_and
hơnhĕr,"to describe child who has been crying, is sad",1,1_noise_sound_tiger_of
hơnhik,to work hard and long,-1,-1_to_be_of_and
honhǐr-honhăr,very sweaty,42,42_cold_hot_cool_season
hơnhok,"tobacco ashes, ashes flying from fire",4,4_fire_light_boil_kettle
hơnhŏ,to be worthy ,-1,-1_to_be_of_and
kơ hơnhŏ,unworthy,-1,-1_to_be_of_and
hơnhơr,to squint at,28,28_look_at_peek_test
hơnhuăl,type of fish net,21,21_fish_catch_net_poison
hơ'nhah,"to jump up quickly, to stop one doing something",-1,-1_to_be_of_and
hơ'nhit-hơ'nhat,to feel sticky,-1,-1_to_be_of_and
hơ'nhre,to prune a tree,19,19_tree_branch_branches_trees
hơ'nhuih,to be wet,8,8_water_river_sea_stream
hơô,to raise arm holding something ready to hit someone or something,2,2_hit_hand_carry_stick
hơpaih,small firewood,4,4_fire_light_boil_kettle
hơpĕch,"to rub off dirt, wash off",48,48_clean_wash_dirty_rub
hơpoih,"a torch, something used to set fire like dry bamboo",4,4_fire_light_boil_kettle
hơpok,the flesh on either side of the backbone,-1,-1_to_be_of_and
hơpong,"to visit, in some dialect especially to visit when someone has died",25,25_died_ceremony_grave_sacrifice
hơpuih,to sweep ,0,0_praise_greet_oh_me
hơra ,a fruit like the apple or fig,9,9_fruit_leaf_plant_leaves
hơret,to tie hard,-1,-1_to_be_of_and
hơrêng,to be leaning over almost falling,33,33_fall_down_descend_stumble
hơri,"to sing, chant",-1,-1_to_be_of_and
horŏng,"behind, after",-1,-1_to_be_of_and
hơrỡng,a type of worm that eats rice plants,-1,-1_to_be_of_and
"hơrỡng, hrỡng","a very loud noise, to be noisy",1,1_noise_sound_tiger_of
horỡt,to pull with a jerk,2,2_hit_hand_carry_stick
hơtach,friendly,-1,-1_to_be_of_and
hơtai,"at that time, when",3,3_time_day_night_if
"hơtang, prit hơtang",long fat type of banana,-1,-1_to_be_of_and
hơtat,to land hard on the ground,-1,-1_to_be_of_and
hơtă,"instruct, command, request one to do something, buy something for someone",-1,-1_to_be_of_and
hơtăng,thin--in reference to material objects but not people,26,26_stomach_fat_strong_bloated
hơtŏng,stem of fruit handle of pot,9,9_fruit_leaf_plant_leaves
hơtỡp,to pound hole into ground,37,37_hole_plug_drill_sink
hơtŭk,to cook potatoes or corn,-1,-1_to_be_of_and
hotŭn,to come together,43,43_together_meet_gather_discuss
hơtŭt,to bump into,-1,-1_to_be_of_and
hơtŭt-hơtat,intensive of hơtŭt,29,29_intensive_form_lơ_truly
howĕng,"bad-mannered, bad-tempered, mean--male only",-1,-1_to_be_of_and
howŏng,"barren, not being able to have children",14,14_children_law_mother_father
hơwơi,to feel for something in the dark--farther out,17,17_dark_skin_white_black
hơwỡ,to feel for something in the dark--nearer,17,17_dark_skin_white_black
hơwỡl,to be confused,-1,-1_to_be_of_and
hơwỡt,to swing arm back and forth,-1,-1_to_be_of_and
hơyok,ashes (restricted to paper light material),4,4_fire_light_boil_kettle
hoyŏu,small wild fruit that grows on trees,9,9_fruit_leaf_plant_leaves
hơyuh,"to want, lust for, desire",16,16_desire_want_do_strive
"hơyuh, ayuh","steam, air",4,4_fire_light_boil_kettle
hơyui,to describe someone whose hair is all matted because he never washes it,50,50_hair_unruly_matted_curly
hơyŭi,almost invisible or out of sight,-1,-1_to_be_of_and
hơyŭl,a bunch of fruit ,9,9_fruit_leaf_plant_leaves
hỡ,of food to be peppery,-1,-1_to_be_of_and
hỡk,to not want to eat because of odor,40,40_eat_eating_food_hungry
hỡm,question marker,52,52_that_there_sight_marker
hỡm,then ,53,53_then_therefore_also_but
hỡt,tobacco,-1,-1_to_be_of_and
hrai,maggots,0,0_praise_greet_oh_me
hraih,a full swing of the arms as in falling or knock to someone down,-1,-1_to_be_of_and
hraihdang,to fall and land on small of back,33,33_fall_down_descend_stumble
hram,to leak out a little,8,8_water_river_sea_stream
hrang,to throw a spear,2,2_hit_hand_carry_stick
hrao,good healthy body,-1,-1_to_be_of_and
hrao,to wash rice,6,6_rice_husked_cooked_grain
hrat,"tired, hard, difficult",24,24_sick_tired_sleep_sickness
hră,crossbow ,-1,-1_to_be_of_and
hrăk,"to mend, sew with string cord",18,18_thread_weaving_instrument_wind
hrăp,"enough, too much",5,5_more_nothing_completely_all
hrăt,"narrow, tight crowded",23,23_size_large_fit_wide
hre,rattan,54,54_snake_rattan_poisonous_stripes
"hre, 'bih hre",a kind of snake the size of rattan,54,54_snake_rattan_poisonous_stripes
hreh,to be quiet,51,51_quiet_laugh_quietly_whisper
