,Keys,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
1105,hodrĕ,an evil spirit,28,28_spirits_ceremony_died_sacrifice,"['spirits', 'ceremony', 'died', 'sacrifice', 'grave', 'corpse', 'buried', 'visit', 'tomb', 'spirit']","['commune with the spirits, sacrifice ', 'ceremony for someone who has died away from home and body not returned', 'cleansing ceremony to get rid of bad elements from living persons taking care of one who just died ']",spirits - ceremony - died - sacrifice - grave - corpse - buried - visit - tomb - spirit,0.2816300855338478,False
1106,hơdring,bamboo strip grass used for stringing fish,9,9_bamboo_tube_xylophone_tall,"['bamboo', 'tube', 'xylophone', 'tall', 'type', 'leader', 'sprouts', 'slender', 'system', 'woven']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",bamboo - tube - xylophone - tall - type - leader - sprouts - slender - system - woven,0.2069434621519251,False
1107,hơdroch,an edible leaf with a very good taste,59,59_leaf_leaves_edible_plant,"['leaf', 'leaves', 'edible', 'plant', 'flowers', 'potato', 'sweet', 'flower', 'stem', 'new']","['leaf stem and main vein running up middle of leaf ', 'leaf ', 'an edible leaf (plant)']",leaf - leaves - edible - plant - flowers - potato - sweet - flower - stem - new,0.8532061943770484,False
1108,hơdrol,"before, first",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1109,hơdrŏ,early rice,6,6_rice_husked_cooked_grain,"['rice', 'husked', 'cooked', 'grain', 'grains', 'unhusked', 'pound', 'harvest', 'field', 'pounding']","['cooked rice', 'cooked rice', 'type of rice']",rice - husked - cooked - grain - grains - unhusked - pound - harvest - field - pounding,1.0,False
1110,hơdrŏng,leaf that is used to make brooms,59,59_leaf_leaves_edible_plant,"['leaf', 'leaves', 'edible', 'plant', 'flowers', 'potato', 'sweet', 'flower', 'stem', 'new']","['leaf stem and main vein running up middle of leaf ', 'leaf ', 'an edible leaf (plant)']",leaf - leaves - edible - plant - flowers - potato - sweet - flower - stem - new,1.0,False
1111,hodrô,wine,26,26_wine_jar_bottle_gourd,"['wine', 'jar', 'bottle', 'gourd', 'cup', 'pour', 'glass', 'drink', 'great', 'expensive']","['type of expensive wine jar', 'wine', 'wine']",wine - jar - bottle - gourd - cup - pour - glass - drink - great - expensive,1.0,True
1112,hơdrông,caterpillar worm,71,71_mosquito_fly_moth_dragonfly,"['mosquito', 'fly', 'moth', 'dragonfly', 'larva', 'caterpillar', 'butterfly', 'earthworm', 'roundworm', 'tick']","['large type of mosquito', 'larva of dragonfly ', 'small larva of fly']",mosquito - fly - moth - dragonfly - larva - caterpillar - butterfly - earthworm - roundworm - tick,1.0,False
1113,hơdrỡm,bamboo water system,9,9_bamboo_tube_xylophone_tall,"['bamboo', 'tube', 'xylophone', 'tall', 'type', 'leader', 'sprouts', 'slender', 'system', 'woven']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",bamboo - tube - xylophone - tall - type - leader - sprouts - slender - system - woven,0.33237743348198867,False
1114,hơdrỡp,a net bird trap,57,57_trap_pam_bird_works,"['trap', 'pam', 'bird', 'works', 'stakes', 'shuts', 'sharpened', 'planted', 'drops', 'chokes']","['trap that works by trigger which trap drops on animal', 'bird trap', 'fish trap']",trap - pam - bird - works - stakes - shuts - sharpened - planted - drops - chokes,0.5243021455578154,False
1115,"hơdruch, oh hơdruch",youngest in family,8,8_family_younger_mother_women,"['family', 'younger', 'mother', 'women', 'brother', 'father', 'daughter', 'older', 'children', 'child']","[""father's or mother's elder brother "", 'an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'younger brother of father or mother']",family - younger - mother - women - brother - father - daughter - older - children - child,1.0,False
1116,hodruih,broom,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1117,hơđah,jump,4,4_fall_down_jump_stand,"['fall', 'down', 'jump', 'stand', 'lean', 'upon', 'falling', 'over', 'up', 'quickly']","['to fall down from standing position, fall over', 'to make to fall over', 'to make to fall down ']",fall - down - jump - stand - lean - upon - falling - over - up - quickly,1.0,False
1118,hơđah,of fruit or skin to crack open,25,25_fruit_ripe_mango_guava,"['fruit', 'ripe', 'mango', 'guava', 'apple', 'twist', 'break', 'off', 'inside', 'wild']","['lechee-like fruit ', 'fruit', 'a type of fruit']",fruit - ripe - mango - guava - apple - twist - break - off - inside - wild,1.0,False
1119,hơđang,of wood to split earth to crack,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1120,hơđỡng,"to depend upon, to be dependable, trustworthy",24,24_depend_badtempered_friendly_kind,"['depend', 'badtempered', 'friendly', 'kind', 'brave', 'tame', 'courageous', 'dependable', 'trust', 'gentle']","['to depend on, trust', 'to depend on, trust in', 'to depend upon, to be dependable, trustworthy']",depend - badtempered - friendly - kind - brave - tame - courageous - dependable - trust - gentle,0.8621509550523929,True
1121,hơgăt,cubit (a linear measure from elbow to the end of middle finger),-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1122,hơgăt,to measure (linear),-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1123,hơgei,"clever, intelligent, capable",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1124,hơgop,together ,41,41_together_meet_along_gather,"['together', 'meet', 'along', 'gather', 'agree', 'discuss', 'common', 'go', 'things', 'accept']","['together ', 'to meet together', 'to meet together, to gather things']",together - meet - along - gather - agree - discuss - common - go - things - accept,0.7509888747916105,True
1125,chỗ hơgop,to tie together,67,67_tie_hang_tying_hook,"['tie', 'hang', 'tying', 'hook', 'well', 'banner', 'connector', 'method', 'frequently', 'knot']","['to pull, to tie well', 'to tie well (over and over)', 'to tie']",tie - hang - tying - hook - well - banner - connector - method - frequently - knot,1.0,False
1126,"hơgŏu, hơgâu",to be unsuccessful in hunting animals,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1127,hơgơng,bridge,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1128,hơgỡm,woven headband,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1129,hơgỡm, if,56,56_if_never_ever_times,"['if', 'never', 'ever', 'times', 'sometimes', 'when', 'twice', 'two', 'example', 'places']","['sometimes, if, when ', 'if when ', 'if, when ']",if - never - ever - times - sometimes - when - twice - two - example - places,0.7891171603856316,False
1130,hơgỡng-ga,sacrifice pole,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1131,hơgỡp,cave,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1132,hơguăl,hair bun,62,62_hair_curly_unruly_matted,"['hair', 'curly', 'unruly', 'matted', 'comb', 'bald', 'ends', 'whose', 'washes', 'bun']","['body hair ', 'of hair to be all over the place ', 'hair all over the place unruly hair']",hair - curly - unruly - matted - comb - bald - ends - whose - washes - bun,1.0,False
1133,hơnĕch-hơhoch,to be ground chopped very small,17,17_grass_weeds_woods_garden,"['grass', 'weeds', 'woods', 'garden', 'forest', 'roofs', 'cleaned', 'thatch', 'field', 'wall']","['very young grass of thatch used to make roofs', 'to cut grass', 'grass, weeds']",grass - weeds - woods - garden - forest - roofs - cleaned - thatch - field - wall,0.8131975024427385,False
1134,hohiĕng,of knife to look very sharp,61,61_knife_blade_sharpen_handle,"['knife', 'blade', 'sharpen', 'handle', 'dull', 'saw', 'sharp', 'alternating', 'rotating', 'binds']","['to cut by knife against and rotating object, to saw with knife', 'knife', 'back side of knife blade']",knife - blade - sharpen - handle - dull - saw - sharp - alternating - rotating - binds,1.0,False
1135,hơhôch,to whistle,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1136,hơhôt,of a tube to be clear no obstructions,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1137,hơhơch,to make a mistake,49,49_lie_fool_believe_me,"['lie', 'fool', 'believe', 'me', 'pardon', 'try', 'token', 'intent', 'crime', 'persuade']","['to lie', 'to lie', 'to lie, fool']",lie - fool - believe - me - pardon - try - token - intent - crime - persuade,0.41893905537911763,False
1138,hơhrah,"to be offended by, not want",29,29_angry_sad_threaten_crestfallen,"['angry', 'sad', 'threaten', 'crestfallen', 'hate', 'belittle', 'offended', 'insult', 'at', 'attitude']","['to make sad, angry ', 'to be angry ', 'to be angry']",angry - sad - threaten - crestfallen - hate - belittle - offended - insult - at - attitude,0.46693850950662674,False
1139,hơhrin,to pinch hard,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1140,hơhrŭk-hrăk,noise of guns going off or someone pounding on another's back ,0,0_noise_sound_loud_crying,"['noise', 'sound', 'loud', 'crying', 'hitting', 'drum', 'something', 'falling', 'of', 'blowing']","['noise of person crying; noise of blowing on something ', 'sound, noise ', 'noise, sound']",noise - sound - loud - crying - hitting - drum - something - falling - of - blowing,1.0,False
1141,hơi,"of little value, not so important, to have lost flavor ",46,46_delicious_pepper_salt_bitter,"['delicious', 'pepper', 'salt', 'bitter', 'red', 'tea', 'sugar', 'bread', 'cinnamon', 'tasteless']","['delicious', 'red pepper', 'to salt, pepper']",delicious - pepper - salt - bitter - red - tea - sugar - bread - cinnamon - tasteless,0.9402035806517306,False
1142,hơi,white horse ,14,14_horse_pig_wild_boar,"['horse', 'pig', 'wild', 'boar', 'animal', 'cow', 'oink', 'cowlick', 'wolf', 'cat']","['cowlick of horse or cow', 'horse', 'mane of horse, pig']",horse - pig - wild - boar - animal - cow - oink - cowlick - wolf - cat,1.0,False
1143,hơi-hơi,not very important,69,69_nothing_nobody_there_gone,"['nothing', 'nobody', 'there', 'gone', 'what', 'thing', 'would', 'we', 'waited', 'thought']","['nobody there, nothing there ', 'completely gone, nothing there ', 'nothing there, completely gone ']",nothing - nobody - there - gone - what - thing - would - we - waited - thought,0.9278044428939883,False
1144,hơia,"red, sour tree fruit ",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1145,hơiă,happy ,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1146,hơiĕ,"many small pieces, children ",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1147,hơioh,"child, children",8,8_family_younger_mother_women,"['family', 'younger', 'mother', 'women', 'brother', 'father', 'daughter', 'older', 'children', 'child']","[""father's or mother's elder brother "", 'an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'younger brother of father or mother']",family - younger - mother - women - brother - father - daughter - older - children - child,0.23728881050836656,False
1148,hơiơch,to bear a child ,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1149,hơiơch,light in weight,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1150,hơiơl,type of bamboo,9,9_bamboo_tube_xylophone_tall,"['bamboo', 'tube', 'xylophone', 'tall', 'type', 'leader', 'sprouts', 'slender', 'system', 'woven']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",bamboo - tube - xylophone - tall - type - leader - sprouts - slender - system - woven,1.0,True
1151,hơǐng,to not be afraid ,30,30_afraid_fearful_surprise_concerned,"['afraid', 'fearful', 'surprise', 'concerned', 'frightened', 'dangerous', 'expression', 'be', 'longtounged', 'disgust']","['to be afraid continually, person who is always afraid ', 'to not be afraid ', 'to be afraid']",afraid - fearful - surprise - concerned - frightened - dangerous - expression - be - longtounged - disgust,1.0,True
1152,hơjong,to be almost gone ,64,64_finished_finish_end_nearly,"['finished', 'finish', 'end', 'nearly', 'worst', 'signifies', 'thong', 'completely', 'forgive', 'pleasure']","['to completely finish', 'to finish ', 'to be finished ']",finished - finish - end - nearly - worst - signifies - thong - completely - forgive - pleasure,0.33516806058253795,False
1153,hơjỡm,to work with metals,93,93_metal_aluminum_melt_metals,"['metal', 'aluminum', 'melt', 'metals', 'disintegrate', 'iron', 'solder', 'graphite', 'dissolve', 'steel']","['to dissolve, melt, disintegrate ', 'metal, iron, steel ', 'of metals to melt']",metal - aluminum - melt - metals - disintegrate - iron - solder - graphite - dissolve - steel,1.0,False
1154,bơngai hơjỡm,blacksmith,93,93_metal_aluminum_melt_metals,"['metal', 'aluminum', 'melt', 'metals', 'disintegrate', 'iron', 'solder', 'graphite', 'dissolve', 'steel']","['to dissolve, melt, disintegrate ', 'metal, iron, steel ', 'of metals to melt']",metal - aluminum - melt - metals - disintegrate - iron - solder - graphite - dissolve - steel,1.0,False
1155,hơk-hơk,"to miss, be lonesome for",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1156,hơkĕ,"thin, weak ",86,86_strong_weak_active_thinin,"['strong', 'weak', 'active', 'thinin', 'bodily', 'strongbodied', 'failing', 'health', 'lasting', 'muscular']","['to be weak', 'strong', 'strong']",strong - weak - active - thinin - bodily - strongbodied - failing - health - lasting - muscular,1.0,False
1157,"hơkop, prit hơkop",two bananas growing fastened together,91,91_bananas_banana_yellow_fat,"['bananas', 'banana', 'yellow', 'fat', 'stalk', 'long', 'short', 'tubers', 'overcooked', 'fastened']","['short fat yellow bananas', 'short fat yellow bananas also known as ""Vietnamese bananas""', 'long yellow bananas']",bananas - banana - yellow - fat - stalk - long - short - tubers - overcooked - fastened,1.0,False
1158,hơkôih,to smooth wood by shaving,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1159,hơla,to give a gift,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1160,hơla,not once,56,56_if_never_ever_times,"['if', 'never', 'ever', 'times', 'sometimes', 'when', 'twice', 'two', 'example', 'places']","['sometimes, if, when ', 'if when ', 'if, when ']",if - never - ever - times - sometimes - when - twice - two - example - places,1.0,False
1161,"hơlang, prit hơlang",long yellow bananas,91,91_bananas_banana_yellow_fat,"['bananas', 'banana', 'yellow', 'fat', 'stalk', 'long', 'short', 'tubers', 'overcooked', 'fastened']","['short fat yellow bananas', 'short fat yellow bananas also known as ""Vietnamese bananas""', 'long yellow bananas']",bananas - banana - yellow - fat - stalk - long - short - tubers - overcooked - fastened,1.0,True
1162,hơlăng,to be generous,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1163,hơleh,of fruit to fall to the ground of the sky to fall down,25,25_fruit_ripe_mango_guava,"['fruit', 'ripe', 'mango', 'guava', 'apple', 'twist', 'break', 'off', 'inside', 'wild']","['lechee-like fruit ', 'fruit', 'a type of fruit']",fruit - ripe - mango - guava - apple - twist - break - off - inside - wild,0.9468275465860247,False
1164,hơlen,to keep on,60,60_stop_keep_doing_it,"['stop', 'keep', 'doing', 'it', 'prevent', 'on', 'at', 'stopped', 'locative', 'continue']","['to keep on doing', 'to keep on doing ', 'to keep on doing']",stop - keep - doing - it - prevent - on - at - stopped - locative - continue,1.0,False
1165,hơlĕ,"maybe this, maybe that",3,3_this_maybe_like_even,"['this', 'maybe', 'like', 'even', 'now', 'therefore', 'so', 'also', 'probably', 'but']","['perhaps, maybe this, maybe that ', 'like this', 'maybe this, maybe that']",this - maybe - like - even - now - therefore - so - also - probably - but,1.0,True
1166,hơlĕch,east,50,50_side_middle_inside_behind,"['side', 'middle', 'inside', 'behind', 'cases', 'paragraph', 'beneath', 'encircling', 'in', 'outer']","['side, as for, in some cases, may be a paragraph marker', 'one side', 'side by side']",side - middle - inside - behind - cases - paragraph - beneath - encircling - in - outer,0.2740471389251074,False
1167,holĕnh,"to lie, be untruthful",49,49_lie_fool_believe_me,"['lie', 'fool', 'believe', 'me', 'pardon', 'try', 'token', 'intent', 'crime', 'persuade']","['to lie', 'to lie', 'to lie, fool']",lie - fool - believe - me - pardon - try - token - intent - crime - persuade,1.0,False
1168,hơlêm,to ask for pardon ,49,49_lie_fool_believe_me,"['lie', 'fool', 'believe', 'me', 'pardon', 'try', 'token', 'intent', 'crime', 'persuade']","['to lie', 'to lie', 'to lie, fool']",lie - fool - believe - me - pardon - try - token - intent - crime - persuade,0.4255073843621848,False
1169,hơli,to feel over with hand,90,90_hand_reach_hands_lines,"['hand', 'reach', 'hands', 'lines', 'beckon', 'knuckle', 'signal', 'divine', 'slap', 'handspan']","['to reach as with hand', 'hand', 'to beckon, call by hand, give signal by hand or head']",hand - reach - hands - lines - beckon - knuckle - signal - divine - slap - handspan,1.0,False
1170,hơliang,"to jump, fly in a dream",4,4_fall_down_jump_stand,"['fall', 'down', 'jump', 'stand', 'lean', 'upon', 'falling', 'over', 'up', 'quickly']","['to fall down from standing position, fall over', 'to make to fall over', 'to make to fall down ']",fall - down - jump - stand - lean - upon - falling - over - up - quickly,1.0,False
1171,hơlik-hơlik,"to have to do over and over, say over and over",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1172,hơloh,immediately,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1173,hơlom,perfect rice grains,6,6_rice_husked_cooked_grain,"['rice', 'husked', 'cooked', 'grain', 'grains', 'unhusked', 'pound', 'harvest', 'field', 'pounding']","['cooked rice', 'cooked rice', 'type of rice']",rice - husked - cooked - grain - grains - unhusked - pound - harvest - field - pounding,1.0,False
1174,holŏl,filled by one thing,69,69_nothing_nobody_there_gone,"['nothing', 'nobody', 'there', 'gone', 'what', 'thing', 'would', 'we', 'waited', 'thought']","['nobody there, nothing there ', 'completely gone, nothing there ', 'nothing there, completely gone ']",nothing - nobody - there - gone - what - thing - would - we - waited - thought,0.9130064431837516,False
1175,hơlŏng,throat,22,22_teeth_between_hold_show,"['teeth', 'between', 'hold', 'show', 'pipe', 'liver', 'moustache', 'molars', 'spleen', 'funnylooking']","['to show teeth ', 'of a young person to hold pipe between teeth', 'teeth']",teeth - between - hold - show - pipe - liver - moustache - molars - spleen - funnylooking,0.2155718784675606,False
1176,holŏu,classifier for elephants,70,70_classifier_intensifier_for_automobiles,"['classifier', 'intensifier', 'for', 'automobiles', 'blankets', 'jars', 'classifiers', 'counting', 'elephants', 'series']","['classifier for paper money', 'classifier for plants, trees', 'classifier for people ']",classifier - intensifier - for - automobiles - blankets - jars - classifiers - counting - elephants - series,1.0,False
1177,hơlôk,a large pile,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1178,hơlơp,pale ,19,19_black_white_skin_rainbow,"['black', 'white', 'skin', 'rainbow', 'ruddy', 'complexion', 'combination', 'pale', 'thread', 'color']","['very black, dirty black', 'black ', 'black']",black - white - skin - rainbow - ruddy - complexion - combination - pale - thread - color,0.5195129718129708,False
1179,hơlỡ,therefore,3,3_this_maybe_like_even,"['this', 'maybe', 'like', 'even', 'now', 'therefore', 'so', 'also', 'probably', 'but']","['perhaps, maybe this, maybe that ', 'like this', 'maybe this, maybe that']",this - maybe - like - even - now - therefore - so - also - probably - but,1.0,False
1180,hơlỡ,to turn over as when frying,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1181,holỡk,"to change, to turn over, to do the wrong or opposite way",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1182,hơluet,to lick one when eating,39,39_lick_bite_spit_mouth,"['lick', 'bite', 'spit', 'mouth', 'fingers', 'cough', 'ones', 'suck', 'burp', 'swallow']","['to taste, lick', 'to lick one when eating', 'to lick fingers']",lick - bite - spit - mouth - fingers - cough - ones - suck - burp - swallow,0.919564846782801,True
1183,holŭk,"to turn over, a vehicle turning over",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1184,holŭl,buried almost completely,28,28_spirits_ceremony_died_sacrifice,"['spirits', 'ceremony', 'died', 'sacrifice', 'grave', 'corpse', 'buried', 'visit', 'tomb', 'spirit']","['commune with the spirits, sacrifice ', 'ceremony for someone who has died away from home and body not returned', 'cleansing ceremony to get rid of bad elements from living persons taking care of one who just died ']",spirits - ceremony - died - sacrifice - grave - corpse - buried - visit - tomb - spirit,0.3607504128945395,False
1185,holŭng,"of a bridge, earth to fall in a hole that is dug",37,37_hole_plug_drill_dam,"['hole', 'plug', 'drill', 'dam', 'sink', 'holes', 'round', 'earth', 'ground', 'fall']","['to plug a hole', 'hole in wall as rat hole', 'hole in ground']",hole - plug - drill - dam - sink - holes - round - earth - ground - fall,0.5180638632568941,False
1186,hơ'lỡng,many each one being beautiful or good,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1187,hơ'lỡp,"child, children",8,8_family_younger_mother_women,"['family', 'younger', 'mother', 'women', 'brother', 'father', 'daughter', 'older', 'children', 'child']","[""father's or mother's elder brother "", 'an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'younger brother of father or mother']",family - younger - mother - women - brother - father - daughter - older - children - child,0.23930226220077602,False
1188,hơmăt,before the face of,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
1189,hơmet,to prepare to put away,10,10_live_go_long_die,"['live', 'go', 'long', 'die', 'somewhere', 'away', 'defeated', 'detour', 'escape', 'home']","['to live', 'to live long', 'to escape, flee, go away']",live - go - long - die - somewhere - away - defeated - detour - escape - home,0.9596672768742558,False
1190,hơmŏ,to think it will be right what one wants,27,27_desire_want_eager_do,"['desire', 'want', 'eager', 'do', 'wish', 'wants', 'greedy', 'purpose', 'no', 'what']","['to want, desire', 'to want, desire ', 'to want, desire']",desire - want - eager - do - wish - wants - greedy - purpose - no - what,1.0,False
1191,hơmŏl,large chunk of firewood,7,7_fire_light_ashes_smoke,"['fire', 'light', 'ashes', 'smoke', 'bright', 'coals', 'shine', 'lighting', 'burn', 'charcoal']","['to put out light or fire ', 'to light a fire ', 'to light a fire']",fire - light - ashes - smoke - bright - coals - shine - lighting - burn - charcoal,0.44684155360060923,False
1192,hơmơng,roundworm,71,71_mosquito_fly_moth_dragonfly,"['mosquito', 'fly', 'moth', 'dragonfly', 'larva', 'caterpillar', 'butterfly', 'earthworm', 'roundworm', 'tick']","['large type of mosquito', 'larva of dragonfly ', 'small larva of fly']",mosquito - fly - moth - dragonfly - larva - caterpillar - butterfly - earthworm - roundworm - tick,1.0,False
