,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
396,to lie,43,43_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to lie down', 'to lie', 'to lie']",human activity -  -  -  -  -  -  -  -  - ,1.0,True
397,"no more, enough",7,7_more_completely_all_enough,"['more', 'completely', 'all', 'enough', 'many', 'much', 'full', 'little', 'kind', 'only']","['all, no more', 'no more, enough', 'all, completely']",more - completely - all - enough - many - much - full - little - kind - only,1.0,True
398,"plenty, enough",7,7_more_completely_all_enough,"['more', 'completely', 'all', 'enough', 'many', 'much', 'full', 'little', 'kind', 'only']","['all, no more', 'no more, enough', 'all, completely']",more - completely - all - enough - many - much - full - little - kind - only,1.0,False
399,salt ,91,91_language___,"['language', '', '', '', '', '', '', '', '', '']","['to salt, pepper', 'red pepper', 'small red pepper that is very hot']",language -  -  -  -  -  -  -  -  - ,1.0,False
400,"follow footprints, repeat after, copy written material ",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
401,"grandfather, sir, Mr.",10,10_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'child, children', 'child, children']",human activity -  -  -  -  -  -  -  -  - ,0.8516541383046217,False
402,"to put arm in hole, to put on bracelet ",36,36_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['ring-type earrings', 'metal necklace (all one piece)', 'chain necklace']",human activity -  -  -  -  -  -  -  -  - ,0.7964967996560174,False
403,cheek,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
404,a harrow,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,0.7819055258609363,False
405,chattering of teeth,85,85_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to show teeth ', 'to show teeth', 'teeth']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
406,to keep on doing ,22,22_language___,"['language', '', '', '', '', '', '', '', '', '']","['to keep on doing', 'to keep on doing', 'to stop, prevent ']",language -  -  -  -  -  -  -  -  - ,0.9852210920231781,False
407,to have no desire to do,9,9_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to want, desire ', 'to want, desire', 'to want, desire']",human activity -  -  -  -  -  -  -  -  - ,0.17457315044251256,False
408,to designate an empty house,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
409,to forget and do something though dangerous,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
410,megaphone ,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
411,to hit target,4,4_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to hit with a large stick', 'to hit with a small stick', 'to hit target']",human activity -  -  -  -  -  -  -  -  - ,1.0,True
412,mouth,34,34_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to open mouth', 'to bring up from throat or spit out of mouth as bad tasting medicine, seeds', 'mouth']",human activity -  -  -  -  -  -  -  -  - ,0.939016754940752,True
413,"to fix dislocated limbs or knives, etc.",35,35_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to tighten as handle of knife ', 'knife', 'back side of knife blade']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
414,place,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
415,to designate noise and action of easily breaking stick,1,1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['noise of person crying; noise of blowing on something ', 'sound, noise ', 'noise, sound']",human activity -  -  -  -  -  -  -  -  - ,0.3924193596324278,False
416,to designate small object that is very red ,91,91_language___,"['language', '', '', '', '', '', '', '', '', '']","['to salt, pepper', 'red pepper', 'small red pepper that is very hot']",language -  -  -  -  -  -  -  -  - ,1.0,False
417,describes water coming out of many places in a mountain,2,2_water___,"['water', '', '', '', '', '', '', '', '', '']","['running water from rain', 'deep water in river or in sea ', 'water']",water -  -  -  -  -  -  -  -  - ,1.0,False
418,"to hear clear and well, to suddenly hear ",1,1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['noise of person crying; noise of blowing on something ', 'sound, noise ', 'noise, sound']",human activity -  -  -  -  -  -  -  -  - ,0.1646023075220586,False
419,to designate the action and appearance of fumes,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
420,gradually,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
421,ruddy complexion ,20,20_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['very black, dirty black ', 'very black, dirty black', 'color combination of having small spots of black and white']",human activity -  -  -  -  -  -  -  -  - ,0.6173349109388372,False
422,ruddy complexion or red and shiny wood,20,20_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['very black, dirty black ', 'very black, dirty black', 'color combination of having small spots of black and white']",human activity -  -  -  -  -  -  -  -  - ,0.6341335368291435,False
423,hoarse,1,1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['noise of person crying; noise of blowing on something ', 'sound, noise ', 'noise, sound']",human activity -  -  -  -  -  -  -  -  - ,0.7514036801071462,False
424,of fish not to be sticky,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
425,brush,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
426, to describe many that are all red,91,91_language___,"['language', '', '', '', '', '', '', '', '', '']","['to salt, pepper', 'red pepper', 'small red pepper that is very hot']",language -  -  -  -  -  -  -  -  - ,0.9809479722345078,False
427,"to treat impolitely, be discourteous or mean",15,15_language___,"['language', '', '', '', '', '', '', '', '', '']","['to be angry ', 'to be angry', 'to make sad, angry ']",language -  -  -  -  -  -  -  -  - ,1.0,False
428,the long good leaf of tobacco,45,45_plants___,"['plants', '', '', '', '', '', '', '', '', '']","['stem that makes new leaf, flower', 'leaf stem and main vein running up middle of leaf ', 'leaf ']",plants -  -  -  -  -  -  -  -  - ,0.9066835695898076,False
429,to feel sorry for,53,53_language___,"['language', '', '', '', '', '', '', '', '', '']","['to praise ', 'to praise', 'to praise, be amazed at']",language -  -  -  -  -  -  -  -  - ,1.0,False
430,"arrow, bullets, quills of porcupine",70,70_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['to pull trigger of gun crossbow ', 'crossbow', 'crossbow ']",animals activity -  -  -  -  -  -  -  -  - ,0.19137538070609655,False
431,"dust, rubbish ",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
432,ripe-colored rice,3,3_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['cooked rice', 'cooked rice', 'type of rice']",human activity -  -  -  -  -  -  -  -  - ,0.8516567882282757,False
433,"to designate rays of dawning sun, coming up of full moon",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
434,dust,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
435,"yeast, a substance put in rice wine ",3,3_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['cooked rice', 'cooked rice', 'type of rice']",human activity -  -  -  -  -  -  -  -  - ,0.08465311258552927,False
436,tuber,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
437,to bury,6,6_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['commune with the spirits, sacrifice ', 'cleansing ceremony to get rid of bad elements from living persons taking care of one who just died ', 'ceremony for someone who has died away from home and body not returned']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
438,small metal pitcher-shaped pot ,103,103_water___,"['water', '', '', '', '', '', '', '', '', '']","['large kettle', 'metal pot, kettle, pan', 'pot, kettle ']",water -  -  -  -  -  -  -  -  - ,1.0,False
439,a type of guava which is red inside when ripe,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
440,to talk big,29,29_size_wide_length_width,"['size', 'wide', 'length', 'width', 'large', 'big', 'crowded', 'breadth', 'tiny', 'mature']","['same in size', 'the same size', 'size']",size - wide - length - width - large - big - crowded - breadth - tiny - mature,1.0,False
441,imitation of early speech of baby ,10,10_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'child, children', 'child, children']",human activity -  -  -  -  -  -  -  -  - ,0.17603148428869037,False
442,"inflammable tree pitch, plastic, glass",13,13_plants___,"['plants', '', '', '', '', '', '', '', '', '']","['type of tree--very large', 'the Têt tree ', 'a type of tree']",plants -  -  -  -  -  -  -  -  - ,0.5495720827763013,False
443,white-tailed,20,20_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['very black, dirty black ', 'very black, dirty black', 'color combination of having small spots of black and white']",human activity -  -  -  -  -  -  -  -  - ,0.8224051642984868,False
444,yard around house ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
445,"wait for, expect",82,82_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['wait, also used for future ', 'to wait ', 'to wait a long time']",human activity -  -  -  -  -  -  -  -  - ,0.9313655939804817,False
446,type of grass with stickers,24,24_plants___,"['plants', '', '', '', '', '', '', '', '', '']","['woods, brush and weeds', 'grass, weeds', 'to cut grass']",plants -  -  -  -  -  -  -  -  - ,1.0,False
447,sparrow-like bird,26,26_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['a type of bird', 'bird', 'bird']",animals activity -  -  -  -  -  -  -  -  - ,0.660062205261059,False
448,type of wild cat ,28,28_animals___,"['animals', '', '', '', '', '', '', '', '', '']","['to look for by smelling as dog after prey', 'to make to look for by smelling e.g. dog after prey', 'dog']",animals -  -  -  -  -  -  -  -  - ,1.0,False
449,"country, district ",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
450,flesh burn from being too near fire all the time ,11,11_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to light a fire', 'to light a fire ', 'large fire']",human activity -  -  -  -  -  -  -  -  - ,0.7594044041738601,False
451,to look for ,19,19_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to look at', 'to look at ', 'to look at ']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
452,"part, chapter",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
453,to chop wood of small diameter ,41,41_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to cut into small slices', 'to cut', 'to cut']",human activity -  -  -  -  -  -  -  -  - ,0.07867728163288175,False
454,"to split bamboo into small pieces, to make cord ",8,8_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",human activity -  -  -  -  -  -  -  -  - ,0.7736336699541554,False
455,to sprout,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
456,cloth,14,14_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to put on clothes', 'clothes', 'clothes ']",human activity -  -  -  -  -  -  -  -  - ,0.7713327546430863,False
457,tea,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,0.7913284700138543,False
458,to hatch,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
459,termite,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
460,of animals to have many offspring,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
461,"a trap, a place hard to get out of ",39,39_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['to catch animals, trap animals', 'bird trap', 'fish trap']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
462,"to lean, to go to the side",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
463,cheep cheep,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
464,"to divide into parts, partition",84,84_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to split', 'to split up ', 'to split']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
465,to hold in hand,4,4_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to hit with a large stick', 'to hit with a small stick', 'to hit target']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
466,large gongs,89,89_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['large gongs', 'small gongs', 'set of small and large gongs']",human activity -  -  -  -  -  -  -  -  - ,1.0,True
467,a large type of gong,89,89_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['large gongs', 'small gongs', 'set of small and large gongs']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
468,to describe the rolling of something circular like a gong,66,66_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['to roll up, curl up body ', 'to roll up in', 'to roll up']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
469, to accuse ,43,43_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to lie down', 'to lie', 'to lie']",human activity -  -  -  -  -  -  -  -  - ,0.31812466967007424,False
470,unpeaceful,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
471,a shelter from wind and rain,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
472,to clean or shine by rubbing,54,54_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['wash, wipe with water', 'clean ', 'to fade, wash out, become clean ']",human activity -  -  -  -  -  -  -  -  - ,0.9641099997463388,False
473,to dip for fish,16,16_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['type of fish', 'fish', 'a type of fish']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
474,to tease in a bad way,32,32_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to keep quiet', 'to be quiet t', 'to be quiet']",human activity -  -  -  -  -  -  -  -  - ,0.38436151268178037,False
475,to be satisfied,98,98_happy_lucky_fortunate_relieved,"['happy', 'lucky', 'fortunate', 'relieved', 'worries', 'turns', 'happygolucky', 'mystical', 'authority', 'pleasant']","['to be happy', 'happy', 'happy ']",happy - lucky - fortunate - relieved - worries - turns - happygolucky - mystical - authority - pleasant,1.0,False
476,"happy, relieved because a bad situation turns out good",98,98_happy_lucky_fortunate_relieved,"['happy', 'lucky', 'fortunate', 'relieved', 'worries', 'turns', 'happygolucky', 'mystical', 'authority', 'pleasant']","['to be happy', 'happy', 'happy ']",happy - lucky - fortunate - relieved - worries - turns - happygolucky - mystical - authority - pleasant,1.0,False
477,"to draw, write",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
478,noise of propeller-like apparatus hitting water ,1,1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['noise of person crying; noise of blowing on something ', 'sound, noise ', 'noise, sound']",human activity -  -  -  -  -  -  -  -  - ,0.8300490272955389,False
479,lead (graphite),-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
480,pencil ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
481,to write,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
482,leprosy (Hansen's disease),0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
483,small gongs,89,89_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['large gongs', 'small gongs', 'set of small and large gongs']",human activity -  -  -  -  -  -  -  -  - ,1.0,True
484,set of small and large gongs,89,89_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['large gongs', 'small gongs', 'set of small and large gongs']",human activity -  -  -  -  -  -  -  -  - ,1.0,True
485,bamboo xylophone ,8,8_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",human activity -  -  -  -  -  -  -  -  - ,0.6436778411324653,False
486,to plug a hole,17,17_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['hole in paper', 'hole in wall as rat hole', 'hole in ground']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
487,to agree go along with accept,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
488,"to part hair, clear path, make groove in crossbow",70,70_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['to pull trigger of gun crossbow ', 'crossbow', 'crossbow ']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
489,"punch with fist, box",4,4_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to hit with a large stick', 'to hit with a small stick', 'to hit target']",human activity -  -  -  -  -  -  -  -  - ,0.9567218253975671,False
490,"to hoe, plow, of fish to bite ",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
491,to cut grass,24,24_plants___,"['plants', '', '', '', '', '', '', '', '', '']","['woods, brush and weeds', 'grass, weeds', 'to cut grass']",plants -  -  -  -  -  -  -  -  - ,1.0,True
492,pickaxe,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
493,to sneak up on,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
494,lines on palm of hand,4,4_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to hit with a large stick', 'to hit with a small stick', 'to hit target']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
495,to dig ditch,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
496,to claw,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
497,greedy,55,55_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to be very rich', 'to pay fine, give back, make restitution, pay rent ', 'to be greedy, not give in return when given to']",human activity -  -  -  -  -  -  -  -  - ,0.918597003518953,False
498,"to lead, people only",25,25_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['group kind type race of people', 'person, people ', 'people ']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
499,to tie,81,81_animals___,"['animals', '', '', '', '', '', '', '', '', '']","['to pull, to tie well', 'to tie hard', 'to tie']",animals -  -  -  -  -  -  -  -  - ,1.0,True
500,woven bag,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
501,in weaving -- putting wooden instruments into the material being woven,12,12_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['instrument used to keep thread close together in weaving', 'an instrument used to keep thread in weaving even ', 'instrument used carry thread in weaving']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
502,to pound or chop meat to type,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
503,"to hear many people talking, to hear heavy noise",1,1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['noise of person crying; noise of blowing on something ', 'sound, noise ', 'noise, sound']",human activity -  -  -  -  -  -  -  -  - ,0.20772031959215845,False
504,to designate water running as blood,2,2_water___,"['water', '', '', '', '', '', '', '', '', '']","['running water from rain', 'deep water in river or in sea ', 'water']",water -  -  -  -  -  -  -  -  - ,1.0,False
505,type of poisonous snake with black and white stripes,58,58_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['a kind of snake the size of rattan', 'type of poisonous snake with black and white stripes', 'snake']",animals activity -  -  -  -  -  -  -  -  - ,1.0,True
506,nose horn of rhinoceros,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
507,instrument used in weaving placed on one's back for thread,12,12_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['instrument used to keep thread close together in weaving', 'an instrument used to keep thread in weaving even ', 'instrument used carry thread in weaving']",human activity -  -  -  -  -  -  -  -  - ,0.997812697251759,False
508,bad-tempered,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
509,to be eager,9,9_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to want, desire ', 'to want, desire', 'to want, desire']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
510,anything that is used to make one room private,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,0.8738107729218174,False
511,even so,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
512,bear (animal),28,28_animals___,"['animals', '', '', '', '', '', '', '', '', '']","['to look for by smelling as dog after prey', 'to make to look for by smelling e.g. dog after prey', 'dog']",animals -  -  -  -  -  -  -  -  - ,0.8825206915196288,False
513,method of tying something up,81,81_animals___,"['animals', '', '', '', '', '', '', '', '', '']","['to pull, to tie well', 'to tie hard', 'to tie']",animals -  -  -  -  -  -  -  -  - ,1.0,False
514,all tied up and unable to move,81,81_animals___,"['animals', '', '', '', '', '', '', '', '', '']","['to pull, to tie well', 'to tie hard', 'to tie']",animals -  -  -  -  -  -  -  -  - ,0.5114440460947198,False
515,to laugh quietly,32,32_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to keep quiet', 'to be quiet t', 'to be quiet']",human activity -  -  -  -  -  -  -  -  - ,0.747921384263567,False
516,water dipper,2,2_water___,"['water', '', '', '', '', '', '', '', '', '']","['running water from rain', 'deep water in river or in sea ', 'water']",water -  -  -  -  -  -  -  -  - ,1.0,False
517,to give rice wine,3,3_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['cooked rice', 'cooked rice', 'type of rice']",human activity -  -  -  -  -  -  -  -  - ,0.16313821364252576,False
518,to bar door fasten securely,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
519,to throw up and hit one stick with another,4,4_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to hit with a large stick', 'to hit with a small stick', 'to hit target']",human activity -  -  -  -  -  -  -  -  - ,0.9425038375475316,False
520,shoes,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
